metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
p1_aucZ,segment_gamma,FALSE,6,2,4,-0.08701073397426794,0.6875276614777058,higher_audiobook,0.5293681061847979,0.7562401516925684,0.76906714787126,0.8717331761302686,0.6874999999999999,0.1921435882937358,0.13681022290308179,0.06147077192905509,0.07810596929558322,0.14093033590290016,0.8545381929331113,1
p2_rfreqGated,segment_gamma,FALSE,6,4,2,-0.032232289055941256,0.2600587313918349,higher_audiobook,1,1,0.7736631938156133,0.8717331761302686,0.6874999999999999,0.21178512746766118,0.14520884028003617,0.4486246536439656,0.010508906253946293,0.04912019087887754,0.6503502217300464,1
p2_rfreqPW,segment_gamma,FALSE,6,3,3,-0.03150400097306599,0.27560347777508176,higher_audiobook,0.833935414088552,0.8895311083611221,0.7906925835590176,0.8785473150655752,1,0.21894770776777564,0.13113183172454895,-0.036861890578252364,0.01724339600287894,0.062226168184302266,0.9208885054158309,1
p1_rfreqGated,segment_gamma,FALSE,6,4,2,0.03929643258413723,0.3665089619500808,higher_focus,0.6749867139704894,0.83075287873291,0.8033136690306826,0.8803437468829398,0.6874999999999999,0.1287580945707229,0.1357553697776152,0.15852067947699547,0.8964207599963634,0.9300365384962271,0.8308117678540361,1
p2_rfreqRaw,segment_gamma,FALSE,6,3,3,-0.02605301177284552,0.27346084517806796,higher_audiobook,0.833935414088552,0.8895311083611221,0.8247299586911007,0.8915999553417305,1,0.21379971878643253,0.12428651187464862,0.4450776957570331,0.030072405873271757,0.08051644153166308,0.9115600148395233,1
p4_aucZ,segment_gamma,FALSE,6,4,2,0.053572815825312536,0.634456940588147,higher_focus,0.833935414088552,0.8895311083611221,0.8443001765298817,0.9005868549652071,0.6874999999999999,0.4207851568100493,0.17293086199933422,0.01123893604215794,3.085856409512644e-6,1.2806304099477472e-4,0.46939225868931345,1
p3_rpowDb,segment_gamma,FALSE,6,3,3,-0.010097949190061316,0.1845870834954165,higher_audiobook,0.833935414088552,0.8895311083611221,0.8986285629298265,0.9459248030840278,1,0.16030403169578847,0.12396613201905357,0.016256498177238954,0.2199355326874085,0.3094008341195747,0.9863653941196368,1
freqSpan,ridge_frequency,FALSE,6,4,2,-0.006679934656423377,0.184701428488259,higher_audiobook,1,1,0.9328477569808507,0.9612307596179075,0.6874999999999999,0.16918901464732644,0.14444812831640183,-0.5416666666666666,0.6301589850746531,0.7164821337150166,0.8390910532097049,1
w4_bandDb,window_gamma,FALSE,6,3,3,0.014062751560464446,0.41586724355661336,higher_focus,1,1,0.9371999906274598,0.9612307596179075,1,0.20895763106346954,0.17663324247428666,0.20724260816837212,0.0015927095449765893,0.013219489223305693,0.1087211792922903,1
w3_rpowZ,window_gamma,FALSE,6,2,4,-0.005633873927730063,0.3002484234035991,higher_audiobook,0.833935414088552,0.8895311083611221,0.9651195219306254,0.9651195219306306,0.6874999999999999,0.1944253075811594,0.13846739515958978,-0.0027750548021833557,0.059690578733634814,0.11521669848585325,0.7002048954091282,1
