elementID,suggestedLabel,onsetSec,peakSec,offsetSec,durationSec,peakActivationZ
2,whitewater decay,302.8,302.85,303,0.199999999999989,2.02447455214509
3,deep incoming rumble,302.8,302.85,303.1,0.300000000000011,2.05319507020734
1,continuous foamy hiss,303.05,303.25,303.65,0.599999999999966,3.75651242628046
3,deep incoming rumble,303.4,303.65,303.7,0.300000000000011,1.96094502095512
3,deep incoming rumble,304.05,304.75,305,0.949999999999989,3.29354837435839
3,deep incoming rumble,306.15,306.5,306.9,0.75,2.40967679013897
5,deep incoming rumble,310.05,310.45,310.5,0.449999999999989,2.07883450386935
2,whitewater decay,312.4,313.25,313.75,1.35000000000002,3.91996236041829
1,continuous foamy hiss,312.85,312.9,313.1,0.25,1.80420411172159
5,deep incoming rumble,313.05,313.1,313.25,0.199999999999989,2.41154907851292
10,lapping water movement,313.15,313.25,313.45,0.300000000000011,2.45387629323674
2,whitewater decay,314.35,314.55,314.6,0.25,1.7669804395922
1,continuous foamy hiss,316.25,316.6,316.7,0.449999999999989,2.41984449700433
7,deep incoming rumble,322.2,322.3,322.4,0.199999999999989,3.52942699000859
7,deep incoming rumble,322.6,323.1,323.65,1.04999999999995,3.48378720262909
10,lapping water movement,324.55,324.85,324.9,0.349999999999966,1.85908928112363
2,whitewater decay,324.65,324.8,325.5,0.850000000000023,2.79438373217535
9,deep incoming rumble,325.05,325.35,325.7,0.649999999999977,2.25748130516406
2,whitewater decay,325.75,325.9,326.05,0.300000000000011,3.44837516596913
1,continuous foamy hiss,325.95,326.05,326.35,0.400000000000034,2.95899621243118
2,whitewater decay,326.4,326.65,326.75,0.350000000000023,2.44579880226426
10,lapping water movement,326.75,326.8,326.95,0.199999999999989,1.91684215301485
9,deep incoming rumble,327.05,327.15,327.25,0.199999999999989,2.30311912534651
6,broadband crash,327.3,327.55,327.7,0.399999999999977,3.07855526005696
7,deep incoming rumble,327.3,327.3,327.6,0.300000000000011,2.19371955786407
2,whitewater decay,327.55,327.9,328.05,0.5,2.04171298046227
6,broadband crash,328.1,328.15,328.5,0.399999999999977,2.12200589276916
2,whitewater decay,328.5,328.85,328.9,0.399999999999977,2.14441668124392
9,deep incoming rumble,329.25,329.25,329.7,0.449999999999989,1.90135673455256
9,deep incoming rumble,330.15,330.6,331.15,1,2.59294661285741
1,continuous foamy hiss,331.95,332,332.15,0.199999999999989,2.42139972238402
2,whitewater decay,332.1,332.4,332.45,0.349999999999966,1.89372263011715
8,deep incoming rumble,334.85,334.85,335.05,0.199999999999989,1.65838200699368
3,deep incoming rumble,336.25,336.3,336.6,0.350000000000023,2.04999128902833
1,continuous foamy hiss,336.95,337,337.1,0.150000000000034,1.92662174023518
4,lapping water movement,337.1,337.25,337.3,0.199999999999989,1.97389062054966
2,whitewater decay,337.2,337.25,337.45,0.25,1.96030702856696
3,deep incoming rumble,337.2,337.3,337.5,0.300000000000011,1.93210880243216
1,continuous foamy hiss,337.5,337.65,338.05,0.550000000000011,3.80690247993097
3,deep incoming rumble,337.8,338.1,338.15,0.349999999999966,1.98432150277994
3,deep incoming rumble,339.1,339.15,339.45,0.349999999999966,3.24364753873141
3,deep incoming rumble,340.6,341.25,341.35,0.75,2.42527788082156
